#: table_doi: 10.17182/hepdata.102093.v1/t24
#: name: Contour SD neutron
#: description: A comparison of the inferred limits with the constraints from direct-detection experiments on the spin-dependent WIMP-neutron and WIMP-proton scattering cross section as a function of the WIMP mass, in the context of the simplified model with axial-vector couplings. Limits are shown at 90% CL.
#: data_file: contour_sd_neutron.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{\chi}$ [GeV],$\sigma_{SD}(\chi-neutron)$ [cm$^2$]
1.0,3.6598e-44
2.0,6.372e-44
3.0,7.9815e-44
4.0,9.0252e-44
5.0,9.7528e-44
6.0,1.0288e-43
7.0,1.0697e-43
8.0,1.1021e-43
9.0,1.1283e-43
473.11,1.3705e-43
488.01,1.4285e-43
512.99,1.4818e-43
527.33,1.5184e-43
537.96,1.5471e-43
560.99,1.6864e-43
562.94,1.6989e-43
580.54,1.878e-43
587.91,1.9626e-43
595.99,2.0977e-43
600.64,2.3502e-43
598.72,2.6417e-43
600.29,2.98e-43
601.86,3.3742e-43
604.03,3.8359e-43
250.22,2.5874e-41
238.26,3.4035e-41
232.23,3.8287e-41
213.29,5.8557e-41
212.57,5.9118e-41
192.71,9.6252e-41
188.31,1.1039e-40
172.17,1.677e-40
163.34,2.2114e-40
153.1,3.1967e-40
138.36,6.2391e-40
135.62,6.9035e-40
118.83,1.7935e-39
113.39,3.5803e-39
109.29,6.3138e-39
95.038,4.0037e-38
88.412,5.6311e-37
86.668,1.3854e-36

