#: table_doi: 10.17182/hepdata.102093.v1/t65
#: name: Contour exp_m1 DMV
#: description: 1 $\sigma$ down expected exclusion contour at 95% CL in the $m_{Z_{V}}-m_\chi$ parameter plane    for the vector mediator model.
#: data_file: contour_exp_m1_dmv.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{V}}$ [GeV],$m_{\chi}$ [GeV]
1.0,158.0
860.0,450.0
1030.6,510.31
1372.6,681.28
1582.7,786.33
1822.0,820.51
2000.0,795.71
2212.4,750.0
2250.0,666.0
2261.4,600.0
2262.6,597.48
2260.1,500.0
2259.6,499.04
2270.0,450.0
2270.7,447.93
2267.4,400.0
2273.2,352.32
2273.8,350.0
2274.9,347.51
2280.6,300.0
2282.7,296.73
2287.5,250.0
2287.8,246.22
2284.3,200.0
2284.0,196.6
2289.3,150.0
2288.5,146.15
2284.1,100.0
2285.6,96.436
2284.2,1.0

