#: table_doi: 10.17182/hepdata.102093.v1/t20
#: name: Contour exp_p1 DMP
#: description: 1 $\sigma$ up expected exclusion contour at 95% CL in the $m_{Z_{P}}-m_\chi$ parameter plane    for the pseudo-scalar mediator model.
#: data_file: contour_exp_p1_dmp.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{P}}$ [GeV],$m_{\chi}$ [GeV]
1.0,1.4859
10.992,5.2799
12.882,6.0055
12.976,6.0416
14.96,6.6584
15.658,7.0065
16.944,7.4651
18.096,8.0075
18.928,8.3267
20.912,9.0884
100.27,45.088
199.47,94.421
200.46,95.095
201.45,95.484
350.15,165.16
350.25,165.91
350.87,165.16
351.69,164.16
352.23,163.5
352.52,163.16
353.34,162.16
354.17,161.16
354.22,161.1
354.99,160.16
355.82,159.16
356.2,158.69
356.64,158.16
357.47,157.16
358.19,156.29
358.3,156.16
359.12,155.16
359.95,154.15
360.17,153.88
360.77,153.15
361.6,152.15
362.15,151.48
362.42,151.15
363.23,150.15
363.73,149.15
364.14,148.25
364.18,148.15
364.49,147.15
364.62,146.15
364.76,145.15
364.89,144.14
365.02,143.14
365.15,142.14
365.29,141.14
365.42,140.14
365.55,139.14
365.68,138.14
365.82,137.14
365.95,136.14
366.08,135.13
366.12,134.83
366.21,134.13
366.35,133.13
366.48,132.13
366.61,131.13
366.74,130.13
366.88,129.13
367.01,128.13
367.14,127.13
367.27,126.13
367.41,125.12
369.31,100.1
370.12,75.075
371.6,43.043
371.61,42.042
371.61,41.041
371.62,40.04
371.62,39.039
371.63,38.038
371.64,37.037
371.64,36.036
371.65,35.035
371.66,34.034
371.66,33.033
371.67,32.032
371.68,31.031
371.68,30.03
371.69,29.029
371.69,28.028
371.7,27.027
371.71,26.026
371.71,25.024
371.84,1.0005

