#: table_doi: 10.17182/hepdata.102093.v1/t2
#: name: Histogram CR1mu0b
#: description: The measured $p_{\mathrm{T}}^{\mathrm{recoil}}$ distributions in the $W \rightarrow \mu \nu $ control region, compared with the background predictions as estimated after the simultaneous, binned background-only fit to the data in the control regions. The last bin of the distribution contains overflows.
#: data_file: histogram_cr1mu0b.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: $p_{T}^{recoil}$
$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of data events
225.0,200.0,250.0,742740.0
275.0,250.0,300.0,330096.0
325.0,300.0,350.0,146813.0
375.0,350.0,400.0,68951.0
450.0,400.0,500.0,51748.0
550.0,500.0,600.0,15339.0
650.0,600.0,700.0,5358.0
750.0,700.0,800.0,2156.0
850.0,800.0,900.0,911.0
950.0,900.0,1000.0,438.0
1050.0,1000.0,1100.0,204.0
1150.0,1100.0,1200.0,94.0
1250.0,1200.0,1300.0,110.0

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of background events,stat+syst +,stat+syst -
225.0,200.0,250.0,741560.0,1873.3,-1873.3
275.0,250.0,300.0,330800.0,832.81,-832.81
325.0,300.0,350.0,147030.0,425.73,-425.73
375.0,350.0,400.0,68651.0,204.21,-204.21
450.0,400.0,500.0,51838.0,181.19,-181.19
550.0,500.0,600.0,15667.0,65.22,-65.22
650.0,600.0,700.0,5415.1,43.13,-43.13
750.0,700.0,800.0,2087.3,25.42,-25.42
850.0,800.0,900.0,896.45,15.81,-15.81
950.0,900.0,1000.0,409.23,10.74,-10.74
1050.0,1000.0,1100.0,201.75,4.97,-4.97
1150.0,1100.0,1200.0,97.11,3.14,-3.14
1250.0,1200.0,1300.0,111.79,4.49,-4.49

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of $Z( \rightarrow ll)$+jets events
225.0,200.0,250.0,13638.0
275.0,250.0,300.0,4864.0
325.0,300.0,350.0,1743.9
375.0,350.0,400.0,657.35
450.0,400.0,500.0,434.63
550.0,500.0,600.0,116.47
650.0,600.0,700.0,37.85
750.0,700.0,800.0,14.81
850.0,800.0,900.0,6.51
950.0,900.0,1000.0,2.76
1050.0,1000.0,1100.0,1.2
1150.0,1100.0,1200.0,0.65
1250.0,1200.0,1300.0,0.76

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of $W( \rightarrow l \nu)$+jets events
225.0,200.0,250.0,669810.0
275.0,250.0,300.0,293470.0
325.0,300.0,350.0,129470.0
375.0,350.0,400.0,60353.0
450.0,400.0,500.0,45494.0
550.0,500.0,600.0,13701.0
650.0,600.0,700.0,4685.1
750.0,700.0,800.0,1779.0
850.0,800.0,900.0,748.19
950.0,900.0,1000.0,336.24
1050.0,1000.0,1100.0,165.92
1150.0,1100.0,1200.0,78.82
1250.0,1200.0,1300.0,84.93

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of VBF $W( \rightarrow l \nu)$+jets events
225.0,200.0,250.0,10957.0
275.0,250.0,300.0,6343.7
325.0,300.0,350.0,3545.5
375.0,350.0,400.0,2020.8
450.0,400.0,500.0,1913.8
550.0,500.0,600.0,749.63
650.0,600.0,700.0,319.92
750.0,700.0,800.0,153.82
850.0,800.0,900.0,77.61
950.0,900.0,1000.0,42.24
1050.0,1000.0,1100.0,21.56
1150.0,1100.0,1200.0,12.31
1250.0,1200.0,1300.0,18.16

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of top events
225.0,200.0,250.0,37526.0
275.0,250.0,300.0,20190.0
325.0,300.0,350.0,9068.4
375.0,350.0,400.0,3894.3
450.0,400.0,500.0,2473.4
550.0,500.0,600.0,553.53
650.0,600.0,700.0,150.58
750.0,700.0,800.0,43.4
850.0,800.0,900.0,15.01
950.0,900.0,1000.0,5.89
1050.0,1000.0,1100.0,2.77
1150.0,1100.0,1200.0,0.94
1250.0,1200.0,1300.0,1.13

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of diboson events
225.0,200.0,250.0,9627.5
275.0,250.0,300.0,5932.2
325.0,300.0,350.0,3196.2
375.0,350.0,400.0,1725.6
450.0,400.0,500.0,1522.3
550.0,500.0,600.0,546.37
650.0,600.0,700.0,221.65
750.0,700.0,800.0,96.32
850.0,800.0,900.0,49.13
950.0,900.0,1000.0,22.1
1050.0,1000.0,1100.0,10.3
1150.0,1100.0,1200.0,4.38
1250.0,1200.0,1300.0,6.81

