#: table_doi: 10.17182/hepdata.102093.v1/t97
#: name: Table cutflows 150GeV
#: description: Cutflow of several signal benchmarks. A cut on the truth $E_\mathrm{T}^\mathrm{miss}$ at 150 GeV is applied.
#: data_file: table_cutflows_150gev.yaml
Cut,DMA_1_2000
Total evts (truth $E_\mathrm{T}^\mathrm{miss}>150$ GeV),10282.0
Trigger,10101.0
Event cleaning,10091.0
Lepton veto,9788.0
$N_\mathrm{jets}\leq4$,9455.0
"$\min{\Delta\Phi\left(\mathrm{jets},E_\mathrm{T}^\mathrm{miss}\right)}$ cut",9104.0
Lead. Jet quality requirements,8963.0
Lead. Jet $p_\mathrm{T}>150$ GeV and lead. Jet $\left|\eta\right|<2.4$,6642.0
$E_\mathrm{T}^\mathrm{miss}>200$ GeV,5317.0
200 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $250 GeV,1346.0
250 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $300 GeV,1045.0
300 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $350 GeV,771.0
350 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $400 GeV,552.0
400 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $500 GeV,684.0
500 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $600 GeV,371.0
600 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $700 GeV,212.0
700 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $800 GeV,126.0
800 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $900 GeV,79.0
900 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1000 GeV,48.0
1000 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1100 GeV,29.0
1100 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1200 GeV,19.0
$E_\mathrm{T}^\mathrm{miss} > $1200 GeV,35.0

Cut,DMA_1_2000  [$\%$]
Total evts (truth $E_\mathrm{T}^\mathrm{miss}>150$ GeV),100.0
Trigger,98.23
Event cleaning,98.14
Lepton veto,95.19
$N_\mathrm{jets}\leq4$,91.95
"$\min{\Delta\Phi\left(\mathrm{jets},E_\mathrm{T}^\mathrm{miss}\right)}$ cut",88.54
Lead. Jet quality requirements,87.17
Lead. Jet $p_\mathrm{T}>150$ GeV and lead. Jet $\left|\eta\right|<2.4$,64.6
$E_\mathrm{T}^\mathrm{miss}>200$ GeV,51.71
200 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $250 GeV,13.09
250 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $300 GeV,10.17
300 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $350 GeV,7.49
350 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $400 GeV,5.36
400 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $500 GeV,6.65
500 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $600 GeV,3.61
600 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $700 GeV,2.06
700 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $800 GeV,1.22
800 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $900 GeV,0.77
900 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1000 GeV,0.47
1000 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1100 GeV,0.28
1100 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1200 GeV,0.18
$E_\mathrm{T}^\mathrm{miss} > $1200 GeV,0.34

Cut,DMP_1_350
Total evts (truth $E_\mathrm{T}^\mathrm{miss}>150$ GeV),199250.0
Trigger,193340.0
Event cleaning,193090.0
Lepton veto,187090.0
$N_\mathrm{jets}\leq4$,176980.0
"$\min{\Delta\Phi\left(\mathrm{jets},E_\mathrm{T}^\mathrm{miss}\right)}$ cut",168960.0
Lead. Jet quality requirements,160710.0
Lead. Jet $p_\mathrm{T}>150$ GeV and lead. Jet $\left|\eta\right|<2.4$,90366.0
$E_\mathrm{T}^\mathrm{miss}>200$ GeV,60133.0
200 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $250 GeV,25162.0
250 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $300 GeV,15549.0
300 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $350 GeV,8648.0
350 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $400 GeV,4717.0
400 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $500 GeV,4034.0
500 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $600 GeV,1303.0
600 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $700 GeV,444.0
700 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $800 GeV,156.0
800 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $900 GeV,67.0
900 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1000 GeV,28.0
1000 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1100 GeV,12.0
1100 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1200 GeV,7.0
$E_\mathrm{T}^\mathrm{miss} > $1200 GeV,6.0

Cut,DMP_1_350  [$\%$]
Total evts (truth $E_\mathrm{T}^\mathrm{miss}>150$ GeV),100.0
Trigger,97.03
Event cleaning,96.91
Lepton veto,93.9
$N_\mathrm{jets}\leq4$,88.82
"$\min{\Delta\Phi\left(\mathrm{jets},E_\mathrm{T}^\mathrm{miss}\right)}$ cut",84.8
Lead. Jet quality requirements,80.66
Lead. Jet $p_\mathrm{T}>150$ GeV and lead. Jet $\left|\eta\right|<2.4$,45.35
$E_\mathrm{T}^\mathrm{miss}>200$ GeV,30.18
200 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $250 GeV,12.63
250 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $300 GeV,7.8
300 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $350 GeV,4.34
350 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $400 GeV,2.37
400 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $500 GeV,2.02
500 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $600 GeV,0.65
600 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $700 GeV,0.22
700 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $800 GeV,0.08
800 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $900 GeV,0.03
900 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1000 GeV,0.01
1000 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1100 GeV,0.01
1100 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1200 GeV,0.0
$E_\mathrm{T}^\mathrm{miss} > $1200 GeV,0.0

Cut,SS_direct_900_895
Total evts (truth $E_\mathrm{T}^\mathrm{miss}>150$ GeV),5750.0
Trigger,5651.0
Event cleaning,5642.0
Lepton veto,5435.0
$N_\mathrm{jets}\leq4$,5142.0
"$\min{\Delta\Phi\left(\mathrm{jets},E_\mathrm{T}^\mathrm{miss}\right)}$ cut",4838.0
Lead. Jet quality requirements,4687.0
Lead. Jet $p_\mathrm{T}>150$ GeV and lead. Jet $\left|\eta\right|<2.4$,3508.0
$E_\mathrm{T}^\mathrm{miss}>200$ GeV,3018.0
200 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $250 GeV,562.0
250 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $300 GeV,536.0
300 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $350 GeV,416.0
350 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $400 GeV,316.0
400 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $500 GeV,439.0
500 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $600 GeV,267.0
600 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $700 GeV,177.0
700 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $800 GeV,110.0
800 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $900 GeV,71.0
900 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1000 GeV,48.0
1000 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1100 GeV,28.0
1100 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1200 GeV,17.0
$E_\mathrm{T}^\mathrm{miss} > $1200 GeV,29.0

Cut,SS_direct_900_895  [$\%$]
Total evts (truth $E_\mathrm{T}^\mathrm{miss}>150$ GeV),100.0
Trigger,98.27
Event cleaning,98.11
Lepton veto,94.51
$N_\mathrm{jets}\leq4$,89.43
"$\min{\Delta\Phi\left(\mathrm{jets},E_\mathrm{T}^\mathrm{miss}\right)}$ cut",84.14
Lead. Jet quality requirements,81.5
Lead. Jet $p_\mathrm{T}>150$ GeV and lead. Jet $\left|\eta\right|<2.4$,61.0
$E_\mathrm{T}^\mathrm{miss}>200$ GeV,52.48
200 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $250 GeV,9.77
250 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $300 GeV,9.32
300 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $350 GeV,7.23
350 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $400 GeV,5.5
400 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $500 GeV,7.63
500 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $600 GeV,4.65
600 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $700 GeV,3.08
700 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $800 GeV,1.92
800 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $900 GeV,1.23
900 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1000 GeV,0.84
1000 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1100 GeV,0.5
1100 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1200 GeV,0.3
$E_\mathrm{T}^\mathrm{miss} > $1200 GeV,0.51

Cut,TT_bffN_450_443
Total evts (truth $E_\mathrm{T}^\mathrm{miss}>150$ GeV),39598.0
Trigger,38851.0
Event cleaning,38783.0
Lepton veto,37547.0
$N_\mathrm{jets}\leq4$,35412.0
"$\min{\Delta\Phi\left(\mathrm{jets},E_\mathrm{T}^\mathrm{miss}\right)}$ cut",33319.0
Lead. Jet quality requirements,31870.0
Lead. Jet $p_\mathrm{T}>150$ GeV and lead. Jet $\left|\eta\right|<2.4$,23134.0
$E_\mathrm{T}^\mathrm{miss}>200$ GeV,18801.0
200 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $250 GeV,4488.0
250 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $300 GeV,3789.0
300 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $350 GeV,2857.0
