#: table_doi: 10.17182/hepdata.102093.v1/t95
#: name: Table yields IM11
#: description: Expected and observed backgrounds, before and after a binned likelihood fit in the control regions, in the inclusive SR IM11.
#: data_file: table_yields_im11.yaml
#: keyword phrases: Inclusive IM11 region
#: keyword cmenergies: 13000.0
IM11,SR,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),394.0,0,0
SM prediction (post-fit),407.0,34.0,-34.0
Fitted $W\rightarrow e\nu$,6.1,0.8,-0.8
Fitted $W\rightarrow \mu\nu$,23.0,2.6,-2.6
Fitted $W\rightarrow \tau\nu$,34.0,4.0,-4.0
Fitted VBF $W$+jets,6.0,6.0,-6.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,2.8,0.4,-0.4
Fitted $Z\rightarrow \nu\nu$,290.0,33.0,-33.0
Fitted VBF $Z$+jets,21.0,10.0,-10.0
Fitted top,1.7,2.4,-2.4
Fitted dibosons,21.0,7.0,-7.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,352.0,31.0,-31.0
Fit input $W\rightarrow e\nu$,5.1,0.5,-0.5
Fit input $W\rightarrow \mu\nu$,19.1,1.5,-1.5
Fit input $W\rightarrow \tau\nu$,28.7,2.6,-2.6
Fit input VBF $W$+jets,7.0,6.0,-6.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,2.34,0.16,-0.16
Fit input $Z\rightarrow \nu\nu$,242.0,20.0,-20.0
Fit input VBF $Z$+jets,22.0,10.0,-10.0
Fit input top,3.6,2.7,-2.7
Fit input dibosons,22.0,7.0,-7.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

IM11,W$\rightarrow \mu\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),204.0,0,0
SM prediction (post-fit),212.0,11.0,-11.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,166.0,16.0,-16.0
Fitted $W\rightarrow \tau\nu$,12.5,1.3,-1.3
Fitted VBF $W$+jets,17.0,10.0,-10.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,1.5,0.16,-0.16
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted top,4.0,6.0,-6.0
Fitted dibosons,11.0,4.0,-4.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,192.0,22.0,-22.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,141.0,13.0,-13.0
Fit input $W\rightarrow \tau\nu$,10.5,1.0,-1.0
Fit input VBF $W$+jets,19.0,11.0,-11.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,1.27,0.11,-0.11
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input top,8.0,7.0,-7.0
Fit input dibosons,12.0,4.0,-4.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

IM11,W$\rightarrow e\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),246.0,0,0
SM prediction (post-fit),237.0,16.0,-16.0
Fitted $W\rightarrow e\nu$,185.0,19.0,-19.0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow \tau\nu$,13.4,1.4,-1.4
Fitted VBF $W$+jets,20.0,11.0,-11.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted top,10.0,15.0,-15.0
Fitted dibosons,8.7,2.9,-2.9
multijet,-,0,0
