# Mediator Mass (GeV),DM Mass (GeV),xsecUL
1000.0,350.0,1.41525791028
1200.0,150.0,0.889748499744
1750.0,750.0,0.5075403346855
1750.0,450.0,0.498576517335
300.0,100.0,19.025626680000002
200.0,0.0,29.102449793999998
1750.0,500.0,0.5095011840195
1500.0,700.0,0.56719356094352
2250.0,200.0,0.3201770137104
700.0,300.0,3.220552363798
2000.0,700.0,0.41311955814911994
1750.0,400.0,0.492003649728
2000.0,50.0,0.36828134852124
1500.0,300.0,0.6298997117952
2000.0,500.0,0.40219142046646
1750.0,650.0,0.523933360314
1750.0,600.0,0.508678683184
1500.0,50.0,0.5909489031960001
1500.0,0.0,0.591744490378
1500.0,400.0,0.5954292712320001
2000.0,150.0,0.38729579837975997
2250.0,150.0,0.31364709644627997
2250.0,250.0,0.32058696745439996
1200.0,0.0,0.8934126342537
1750.0,50.0,0.458377043267
500.0,0.0,6.9118348626
2000.0,400.0,0.3941330235084
200.0,50.0,23.0496714981
1200.0,250.0,0.9595209811991998
2000.0,650.0,0.41206747666123
1200.0,100.0,0.9168029213760001
500.0,150.0,6.53980706253
1500.0,100.0,0.600613319355
700.0,50.0,3.171890756448
500.0,100.0,5.997012083400001
1750.0,150.0,0.48189704408999995
400.0,100.0,12.03130043815
1500.0,500.0,0.6585882915018001
2000.0,100.0,0.3698161901104
1000.0,200.0,1.385955819584
700.0,250.0,3.0261244854
1200.0,550.0,0.8955447196823799
1500.0,150.0,0.5734644147764001
2000.0,550.0,0.39012586750896006
1750.0,0.0,0.458550505446
2250.0,600.0,0.34177112128289994
55.0,20.0,1757.7217728
2000.0,600.0,0.39435105974879997
1200.0,400.0,0.9434271703779998
2000.0,350.0,0.39169851815556
2250.0,50.0,0.31688189366022
2250.0,0.0,0.316508201256
500.0,50.0,6.7017619696
1000.0,50.0,1.3871098491320004
1750.0,300.0,0.48938476169699996
1750.0,200.0,0.4722662309805
700.0,200.0,3.132826405951
2250.0,800.0,0.35792807886792
1500.0,350.0,0.6205509887280001
1750.0,800.0,0.4885546373568
1500.0,450.0,0.6142045705460001
2250.0,550.0,0.33444228358233
2000.0,0.0,0.35608528085172
55.0,0.0,1179.2515392
2000.0,300.0,0.37654018529856
2250.0,400.0,0.33844443551555
2250.0,450.0,0.3350970207924
1000.0,100.0,1.354066978432
500.0,200.0,6.865665841440001
2000.0,250.0,0.38326598871035
1200.0,450.0,0.9409791055428001
1000.0,400.0,1.4530057879679998
300.0,50.0,14.661118008599999
400.0,0.0,12.183763111520001
2000.0,450.0,0.39478577135928
1750.0,550.0,0.502429884768
1000.0,150.0,1.39243633908
1200.0,50.0,0.886944194505
700.0,150.0,3.0571694738999997
2250.0,350.0,0.33411057134688005
1200.0,300.0,0.9494231089304002
1750.0,700.0,0.5012290743425
1000.0,250.0,1.404309515904
2000.0,200.0,0.3691907433396
1000.0,0.0,1.304520399
1750.0,250.0,0.492644197836
1500.0,200.0,0.6082644138979999
1500.0,650.0,0.6188855945545999
1750.0,350.0,0.4902509684336
1500.0,550.0,0.6402600589635999
1200.0,500.0,0.9434548168848
300.0,0.0,15.997934483999998
2250.0,700.0,0.3584033849721599
1000.0,450.0,1.3878712642356001
2250.0,750.0,0.3540862486728
1200.0,350.0,0.96645932334
400.0,150.0,11.07292512288
1500.0,600.0,0.6349201362996
400.0,50.0,11.612804005920001
1500.0,250.0,0.6158861203716001
1750.0,100.0,0.4709824672026
700.0,0.0,2.8169987480250005
1000.0,300.0,1.403562546456
2250.0,500.0,0.34773507068872
700.0,100.0,3.0164621476319997
2000.0,750.0,0.42041450238623995
2000.0,800.0,0.4112825942592
1200.0,200.0,0.935444384424
2250.0,100.0,0.3190220681648
2250.0,650.0,0.358275208218
2250.0,300.0,0.32242307901516004
