#SUSY CrossSections 13TeV https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVstopsbottom
Mass of stops/sbottoms (GeV),Cross section (pb),Uncertainty (%)
300,10.00,6.65
305,9.18,6.66
310,8.43,6.67
315,7.75,6.69
320,7.13,6.70
325,6.57,6.71
330,6.06,6.73
335,5.59,6.74
340,5.17,6.76
345,4.78,6.78
350,4.43,6.79
355,4.10,6.81
360,3.81,6.83
365,3.54,6.85
370,3.29,6.87
375,3.06,6.89
380,2.85,6.91
385,2.65,6.93
390,2.47,6.95
395,2.31,6.97
400,2.15,6.99
405,2.01,7.01
410,1.88,7.04
415,1.76,7.06
420,1.64,7.09
425,1.54,7.11
430,1.44,7.14
435,1.35,7.16
440,1.26,7.19
445,1.19,7.22
450,1.11,7.25
455,1.05,7.27
460,0.983,7.30
465,0.925,7.33
470,0.870,7.36
475,0.819,7.38
480,0.771,7.41
485,0.727,7.44
490,0.685,7.47
495,0.646,7.50
500,0.609,7.53
505,0.575,7.56
510,0.543,7.58
515,0.513,7.61
520,0.484,7.64
525,0.458,7.67
530,0.433,7.70
535,0.409,7.73
540,0.387,7.75
545,0.367,7.78
550,0.347,7.81
555,0.329,7.84
560,0.312,7.87
565,0.296,7.90
570,0.280,7.93
575,0.266,7.96
580,0.252,7.99
585,0.240,8.02
590,0.228,8.05
595,0.216,8.08
600,0.205,8.12
605,0.195,8.15
610,0.186,8.18
615,0.177,8.21
620,0.168,8.25
625,0.160,8.28
630,0.152,8.31
635,0.145,8.35
640,0.138,8.38
645,0.131,8.42
650,0.125,8.45
655,0.119,8.49
660,0.114,8.52
665,0.108,8.56
670,0.103,8.59
675,0.0987,8.63
680,0.0942,8.66
685,0.0899,8.70
690,0.0858,8.73
695,0.0820,8.77
700,0.0783,8.80
